review,rating
absolutely tasted digusting because the drink literally had no coffee and excessive sugar mentioned specifically not to add too much sugar but seemed like they ended up giving more discarded it,1.0
absolutely terrible,1.0
absolutely terrible kebabs beef kebabs was hard not eatable the chicken i ordered was too dry as well will never order again,1.0
absolutely terrible taste burger was using curry powder not lke a burger taste chips was frying very old smelly oils waste my money,1.0
absolutely terriblethe kacchi was worstthey dont even know how to cook biriyani,1.0
absolutely third class biriani,1.0
absolutely upto the mark both on quality and quantity,5.0
absolutely vulgar not like beforethe quality is disgusted total rubbish nan was half cooked i experienced raw dough inside italso the grill seems raw nd the portionwaas also littlerubbish,1.0
absolutely worst bread is woeful burger was not worth eating wings were even worse absolutely bullshit waste of money,1.0
absolutly fantastic lovely chicken boti though more bones than i would have likedexcellent beef sik fura kebab and just the best falooda,5.0
absoulately another level,5.0
according by price quantity was not enough sir of sunami restaurant,1.0
according the price of the pizza it was too smalland quality is average,3.0
according to food price their qty was not enough we think they delivered half plate biryani against full plate price we were not satisficed on that delivery,1.0
according to ggm amount was too little,3.0
according to price food was very very less,3.0
according to price the foods were good in quality and quantity bt porota ta aktu sokto chilo,4.0
according to price they dont provide gd quantity of food,1.0
according to the price its all good,4.0
according to the price mutton quality was really very poor but rice quality was good,2.0
according to the price of the roll the quality is very disappointing,3.0
according to the price the size of the pizza was small i didnt expect that,2.0
according to the pricesquantity was not good,2.0
according to the rating i thought it wouldnt be good taste but it was good value for money,4.0
achar er beshi smell chilo next time kheyal rakhben,3.0
achar er kono flavor e chilo na khubi baje,1.0
achar was missing which is already paid for that,3.0
achari biriyani was so delicious recomended,5.0
achari bowl is just too goodqualityquantity,4.0
achari chicken খিচুরী অর্ডার করেছিলাম চিকেন প্রোপার রান্না করা ছিলো না,3.0
achari flavour was missing but as chicken khichuri it was good,4.0
achari kabar was not good,2.0
achari mortgage poloe was sooo good i love it,5.0
achari platter fried chicken rice bowl they should add some salad with this bowl cause its too dry bbq chicken special chowmein,4.0
achari rice and onion rings,5.0
achari rice bashi chilo,2.0
achari rice bowl average tastes and quantity need to ve better at this price,3.0
achari rice bowl food was delicious and packaging was very good,5.0
achari rice bowlits just superb!,4.0
achari rice meal poor food quality and the mint yogurt was disgusting,1.0
achari rice tasted really bad chicken strips were okay rice was way too oily burger bun was expired had moulds on it disappointing,1.0
achari rice very good,5.0
achari rice was good but price is very high,4.0
acta menu com assabeef cary order korci asani,1.0
actually excellent,5.0
actually its better than i expected theyre not just taking money for nothing which i really appreciate will order again special platter,4.0
actually the food was not so batter but its quality was well like as they follow hygiene and the food was so clean unfortunately its tasty was not less and i ate this food but i wasnt satisfie,5.0
ad price quantity was very cheap,3.0
ada rosuner gondo chilo baje,3.0
add a little bit salt in dal vaji and also dal the salt was too low,5.0
add an option to adjust the spiciness of the burgers otherwise everythings very good,4.0
add huge souse,1.0
add mayonnaise to the menu,4.0
add more amount of sauce on nachos please,4.0
add more mayonnaise to subsandwitchthe sub was dry,3.0
add some green chilli and serve a piece of lemon pls,2.0
add some more gravy and rice,4.0
add some salad with this at least cucumber,4.0
adda theke nilam combo pack thai soup nei ajob to tka nosto faltu,1.0
addition of excessive naga pepper has caused stomach ache,1.0
adequate for one person and test was good,4.0
ader kacha takar kono mullo naikhub e disgusting,1.0
ader khabar all time valo hoy,4.0
ader vurir ak pagla fan ami,5.0
adha kacha boro boro kisu alu silo tar upor vegetables kom dise,2.0
aer thake kharap khabar ami jibon eo dakhi nii kheta e pari ni falaia dese,1.0
affordable rate and quality is up to the mark at this price takes a bit time to process the food,5.0
after a long day they provide good service because foods quality and quality was too good,5.0
after a long time enjoyed something on foodpanda! ordered chicken haleem from them! alhamdulillah i am satisfied with my order,5.0
after discount value for money,4.0
after eating this i got food poisoning it was disgusting rice smelled bad rolls were so hard to chew and stuffing tested bad and there wasnt enough salt and was too dry its was a horrible,1.0
after having the grilled chicken i vomited more than twice in the morning and had food poison,1.0
after long time ive tested some quality thai soup it was beyond my imagination add wonton in your menu it would be a great combo chicken fried rice was goodbut increase the quantity a bit,5.0
after my recent experience with burger express i stopped ordering from them after a long time i ordered their set menu and found its okay so i guess theres ups and downs in their menu how tastes,4.0
after opening the i found pizza broken all the toppings were in mess and piled up the puzza was dropped on the street or carried carelessly i have picture regards,1.0
after order i received my food hour minutes later,2.0
after placing order minimum hours later my food is coming where as my location restaurant location only minutes distance this is very very poor service of this restaurant never order,1.0
after reaching payment gateway they are saying that they are closed then why you are still available on line,1.0
after sultans dine kacchi bhai is my favorite others are just waste of money kacchi polao badam shorbot borhani of kacchi bhai is of of the best of chattogram,5.0
after switching packaging and quality the plain cake severely worsened it now appears to have been poorly baked whereas before it was excellent simply revert to the previous quality,3.0
after unboxing da packet im not finding da item of boal fish is missingafter all its not a quality packagingjass restaurant,2.0
after using the voucher the special mutton kacchi was really good for the price,4.0
after using voucher special mutton kacchi was really good for the price,4.0
after waiting for an hour they sent me a small pizza instead of the medium one then send another small one immediately i recon for the medium size they baked two small the base was lyesty pillow,1.0
after waiting two hours the order arrived completely cold too much tomato sauce too sour,1.0
aftet reading so much bad reviews i was kinda scared to orderbut that combo pack is awsomethe packaging and allalso the delivery man was very good,5.0
ag o khabar dita late korce are,1.0
aga o onk noor kacchi ty oder korsi but ato ta different hoba asga kori ni ki khailam bujlam na noor kacchi naki raijul birani konoi tofat pailam na sob thaka kharep laglo siddo dim ar bisoy,1.0
again a waste of moneytotally disappointed,2.0
again item missing and teste less,1.0
again missing order i had same experience on last day they did it again,1.0
again sent wrong food disappointed,3.0
again we were disappointed at food ordered plain polao with chicken roast polao was stinky and roast was not fresh most disappointing was jorda it was leftover allah will punish them amin,1.0
agar din order korsilm khubi vlo khabar desilo bt ajk br order korsi br e khub krpmangser pis cotto,1.0
agay valo chilo ekhon faltu khabar day chicken chaap was dry amar pet kharap hoye geche,1.0
age eto valo chilo ekhon man kharap kenocome back again,3.0
age khaya ney pore bolbane,2.0
age kheye dekhi tarpor review dibo,5.0
age nisilam taste bhalo chilo eitar taste ta oto besh balo chilo na but satisfy,3.0
age price cilo box full thakto akn price kintu box e khabar thake kom,1.0
age valoi chilo but shedin ekta order dilam indian chicken biryani but oi biriyani te kuno chicken chilo na but taka to thik disi,1.0
agea theke akhon kom french fry disen but the taste is amazing,4.0
ageo morog polao order korsilam but ajk ki dilo bujlam na,1.0
ager bar grill ta valo paisi kintu eibar er ta beshi purai felse,2.0
ager biriyani gorom kore diya dise amar kache moteo khabar fresh mone hoy ni rice fresh ki na ta jani na but meat fresh chilo na,1.0
ager din ar khabar dawa hoice very bad,1.0
ager din er bashi biryani diyeche!,1.0
ager din vlo paisilm taai order repeat korsilm but ey baar vlo hy ni pizza taa,3.0
ager diner ta valo chilo ajk magso chilo na haddi chilo khali,1.0
ager french fries gula e bhalo chilo ekhn beshi crispy korte jeye puray felen ami always fries order kori kintu ekhn quality etto bajhe korechen fries er like khawar moto nah ekbare faltu hoye gese,1.0
ager moto ar naichicken tho ekdomi kom,1.0
ager moto ar nan dicche na nan onek kharap ebong porimane kom dicche ami eibar kine khusi hoteparlam na taka purai nosto hoye geche amar,2.0
ager moto hoini,2.0
ager moto nai,1.5
ager moto poriman nei onk kom khabar dey,1.0
ager moto r nai taste ow change,1.0
ager moto yummy nah,3.0
ager motu taste pailam naparatha gula valu motu crispy kore veje o deonaikacha kacha lagse khaite,2.0
ager thake onek karp hoye gache rannachicken er size o small hoye gache food quality valo na korenorder dawa bondo kore dice already,2.0
ager theka test onktai kharap hoye gesa,1.0
ager theka valo chilo,4.0
ager theke kom dei,1.0
ager valo kore khabar banano sikhben r pore manush r kase thake order nibentk halal vabe income korben,1.0
agerthekey onk kharapami food panda te order dela enader thekey de but agerthekey eto kharap hobe bujhi ni bujhle detam na,1.0
agey valo chilo ebar thanda burger pelam ar patty sokto,2.0
agun batija okol sera oise,5.0
ai oder korci tk amar mobile thakay katay nisay,1.0
ai price range a noodles ta best!,4.0
ai prize a aro better kisu dewa dorkar,3.0
ai restaurant ato baje karai dibe agee jantam naasys yakkk ato bajeamar ojota taka loss oiloamon kii petee onek bethaa o korlo quality ato bajeesorry order koreeai rokom tik naa,1.0
ai restaurant staff rat kana karon rata order korla tara kabab theta vola jai,3.0
ai ta valob,5.0
aibar er kachi ta vlo silo na,2.0
airy and fluffy pound cake,4.0
aisob okhaddo kukhaddo bikri kora theke biroto thakun,1.0
aita kmn behaviour apndrcustomer khaber order krle to instance khaber made kr dibenna dite perle order cancel krbentai bole ki freezer khaber ager thanda khaber kn diben?joto sob faltu,1.0
aita kono naan holo,3.0
aita to crispy chicken wings aita kono hot na pic e jamon dekhaise,1.0
aito kub e valo but grom chilo na,4.0
aj chicken noodles order korseits goodlast week a piece chicken leg piece order korselamamak ta leg piece desa r baki gula haat ar part ta desaleg piece ar option jokhon alada tokhon ata kano,3.0
aj k khabar er test valosilona chorbir dola pes cilo and goshto soto ek pes eto taka dia ei khabar not good i will never order this item again,1.0
aj k rice and lolipop chicken valo lageni,1.0
aj ker bbq and nan ruti ta onek tasty silo ai vabe kindly khabar er taste dhore rakhben,5.0
aj ker chicken biryani ta valo silo,5.0
aj ker khabar o tasty silo,5.0
aj ker mughlai paratha ta onek valo silo,5.0
aj khub hotash holam khabare ato poriman jal kew dey? kono test nei faltu,1.0
aj rd day french fries aa lobon ba kuno test nai please aktu keal korben,2.0
aj valo chilo na,1.0
aj valo lage nai fish chop taonly alu r alu r samucha singara o valo lage ni ager taste ta r pelam na kindly aager taste ta anen,2.0
ajk ami r amar friend ra mila pack order disilam ami ta amar friend ta onek moja silo bkash a payment kora o santi timely khabar chola asha bashi wait kora laga na thank you,5.0
ajk j delivery man delivery diyeche next time take diye khabar pathaben naemon beyadob delivery man ami foodpanda app use shuru korar por kokhono dekhi ni,5.0
ajk j ki khelamato baje totally unexpected r choto choto chul peyesi onk ci,1.0
ajk khabar ta baje celo,1.0
ajk valo chilo,3.0
ajke khubi baje chilo first time valo paichilambut er por theke ekbaro valo dey nai ekn test khub baje hoiye geche,2.0
ajke roshon r chui jhal dei nai,3.0
ajke vitore ekta gondho astecilo chicken theke,1.0
ajker bar order ditam bar e kharap holo keno bujlam na er age bes koek bar order kore onk vlo chilo,2.0
ajker chicken cheese pasta ta vlo chilo na,2.0
ajker chicken grill ta valo lageni test r chicken fry ta onk shoktho cilo,3.0
ajker food quality bhalo chhilo na the vegetable was stale amd chicken soup had tooo much oil,3.0
ajker haser mangso basi chilogondho hoye geche,2.0
ajker khabar ta kharap silo,1.0
ajker khabar ta khubi baje chilo bises kore kacci ta er ageo tehari ghor thek khabar niyechi tai to order ta korlm,1.0
ajker khabar ta onk tasty hoise,5.0
ajker khichuri ta valo silo,4.0
ajker meal ta temon valo silo na,1.0
ajker meat box er quantity valoi cilo kintu club sandwich er quantity khubii kom cilo,3.0
ajker morog polao a dim missing chilo,2.0
ajker nachos ta tmn testy lage naii,2.0
ajker niharir taste valo chilo na jeno jhol mishay dise r delivery korse polythene diye ei ovvasha change kora uchit tar moddhe salade lebu kisui deynai,3.0
ajker rice ta diye gondho ashte silochicken thik silo but rice ta diye smell peyechi er ageo onk bar niyechi emon kokkhno hoy nai!,1.0
ajker shingara fresh mono holo na ektu tanda ami aro onek order korechi gorom gorom takhto please quality komaben na,3.0
ajker ta khub e baje ciloata expect kori nai,1.0
ajker vaji ta valo chilo na,4.0
ajkher khichuri khub vlo chilo,1.0
ak ak din er test ak ak rokom motamoti chole,2.0
ak basi cilo maybe,4.0
ak dom baje chilochowmin pora chilo,1.0
ak futaw chicken nai chicken fried rice e,1.0
ak holo khabar tanda cilo r holo cice akta dilo akta,1.0
ak kothay osadharon chiloteste o onk valo chilo,5.0
ak packet biriyani te ta chul paile khaowar ruchi thake!,1.0
ak ta food missing chilo,1.0
akabare baje satisfied na,1.0
akbar e baje khabar ar oder dichi akta ashche ar akta ato baje khabar kokhono khai nai hyderabadi biryani r jaigai diche mutton biryani kintu ato baje taste kichu bolar nai,1.0
akbara baja,3.0
akbare baje parata dicenapnara aktu check kore diben next timekisher akta smell korrechy perfume er smell er motonext time jate balo koren ai asha kore comment ta korlam,1.0
akbare faltu restaurant order deye food pai nai,1.0
akbare faltuorder kprse khichuri desay polao r murgitdst o valo selonana thakle call dea bolen j vai naikhaite mon chaise akta desay arek ta tk goccha gesay ajkcall desi bole kichuri nost,1.0
akdm i vlo namnagso disa akta haarr borhani disa nosto onk baje sml hoya gclo,2.0
akdom aj baje cilo kabar r poriman o kom silo tar theke boro kotha kabar ta karap silo onk,1.0
akdom baaje mansho er jaygay haddi dise lmao,1.0
akdom bagae test,1.0
akdom baj e khabar mone holo basi khabar diye dise,1.0
akdom baja khabar ami nehri order diselam amk ta khur disa,1.0
akdom baja khabar chicken fry burger chicken pizza hot dog chicken shawarma,1.0
akdom baja khabarato baja khabar ami khokhono khai naikhabar khaiya bumi chola ashay wings er onthon kacha chiloekdom valo na soup ek dom bajasoup tita french fry valo chilo full taka loss,1.0
akdom baja obosta kabar er ar ak pis cuto chicken r olpo bat dia chicken pulao dam taka akdom loss project bai apndar kasae onurud roilo kaou ai resturant taika kabar ordar diban na,1.0
akdom bajaamak food dai ni ja order korachilam bt tk nia niasa,1.0
akdom bajaburger vitor kicu cilo naruti tao sokto,1.0
akdom baje,1.0
akdom baje cilo amn vabe beef ranna korte dekhi nai,1.0
akdom baje goror magso ato coto ar total pic tar modde ta harato mosola kaoai jai na,1.0
akdom baje hoise,1.0
akdom baje hoise ayto oil and meet pis akta manus tk dia ay sob khawar chay bhalo baire geye tk plate khawa bhai bisas kore mon santipat o santi,1.0
akdom baje khavar kew oder korben nh,1.0
akdom baje noodles a sob kacha,2.0
akdom baje service min ar priborte delivery pete min legecetachara khabarer man temon asa nurup na,1.0
akdom baje vat gula pocha gondho korcgilo,1.0
akdom bajebokacuda delivery man,1.0
akdom bajedim daini r biriyani to akdom suknamanus thokano bondho kore,1.0
akdom bajedim er size soto vangarice er kno shad silo nar mangso akdom pure gase hotash,1.0
akdom bajekhabar thandha cilo,1.0
akdom bajepora pizza deyaceamr taka tai nosto holo,1.0
akdom bakeami order korechilam set menu kintu amake diche aber taka o niche set menu at dam rice ta valo chilo vegetable is also goodbut chiken ta thikmoto bajarin hoy ni kache,1.0
akdom basi khabar diche gondho ber hocchilo,1.0
akdom basipocavat sokto ar mango pura kacha mangsho diceaato baje servicejanle kono dino order kortam nana kheathakthamolpo koita gale niea baki sob vat fele dealagce,1.0
akdom bazaagosh tar rice akabeera taste naiii,1.0
akdom e baje food pathano hoisa not recommended dam onujai khabar valo nah akdom e,1.0
akdom e baje khabar cilokhub e gondho ar khub e thanda cilo khabar akdom e baje,1.0
akdom e bajekhabar theke durghondo ber hocchilo ata eid er ager rater morog polaw din freze e chilo trpr gorom kore dise ak kothai bolbo qr dim chilo nafelwe rise pore,1.0
akdom e faltu chilo,1.0
akdom e valo nahfresh khabar dei nah era,1.0
akdom faltto,1.0
akdom faltu akta khabar tk delivery charge shoho quantity kotha r ki bolbo,1.0
akdom faltu chilo pizza ta,1.0
akdom faltu chilo quality akdom faltu chilo r delivery valo hoy nai je jaygay ashar kotha chilo sei jaygay ashe nai amke hete jeye ante hoise faltu faltu,1.0
akdom faltu kabar,1.0
akdom faltu khabar dise dekhe mone hocce din ager bashi khabar dice ader theke amon service asa korini,1.0
akdom faltu taste ato kharap khabar asa kori ni,1.0
akdom faltuaita kono rice holo,1.0
akdom jogonno jal er gura dea vat vaja chicken o onk agar ranna akdom valo na disappointed,1.0
akdom karap,1.0
akdom karap cilo,1.0
akdom kharap,1.0
akdom kharap thanda pizza star paowaro joggo na,1.0
akdom nosto khabarmona hoi rasar khabar doi nosto gondo bar hoscakhawa bomi kora dawar moto roast a gos nai sudu har akdom baja khabarsobai nur kasci hota dura thakan,1.0
akdom rd class,1.0
akdom thanda khabar deyaca,2.0
akdom valo lage nai ato jaigay khaylam koto moja akhan theke nichi tai ato kharap bobe asa kori nai pura ta thanda hoye geche rokom chal misango ar kharap kemon jani lagche,1.0
akdom valo na khabar joto din dise toto din khabar a pblm faisi kmne tokay khabar diya tokani,1.0
akdom valo na taka to jole gelo,1.0
akdome baje cilo amon ta asah kori ny,1.0
akdon bajeorder diben akjinias ardibe onno jinis,1.0
akdon faltu,1.0
ake bare faltu khabar tk ta e nosto holo sob khabar e thanda r kono moja e na ki sob faltu khabar na pari khaite na pari felte,1.0
akhan yar khabar ta valo asa kori kayo order diya thokban na,5.0
akhn chicken briyani te dim den na kno,3.0
akhni te chicken deyyyyi nai huda pulaw khailam kotogula,2.0
akhni te mangso cilo na kno tukra mangso age to amn cilo na akn amn kno kortecen apnara?,2.0
akhon ar ato moja paina burger a,1.0
akhono aseni,1.0
akhono try kora hoy ni but dekhe mone hocche khub e valo hobe,1.0
akjer polao ta ekdom baje silo just polao er chal dea vaat ranna kore ekta ckn pic dea dise bad experience,2.0
akjom baje silo khabar tarost gondo hoye gesarice basi,1.0
akk dom baze chilo bbq,1.0
akkhotai khub bhalo,5.0
akno paine bujlm na,1.0
akon food paini,5.0
akono order pi ni,1.0
akono paini,1.0
akta,1.0
akta item cilo na golden spun thake order korcilam,5.0
akta order dise wrong order dewa housefully disappointed,1.0
akta order disilam dise r akta,1.0
akta pizzar size chhoto silo but food was tasty,4.0
akta reputed restaurant ato kipta hoite pare je tader kase burger e dewar jonno akta o tomatoonion or lettuce nai taste jodio chole type management khubi baje,2.0
akta roll order silo setar bodole ta singara disilo segula khub coto silogrill ar mayo ta valo silo porotay tel kom silo moglai te shad pai naibut offer e onek kicu paisi aitai koto grill recome,4.0
akto carefully parcel ta anla aro valo lakto test ar dik diya sweet corn ta tmn valo cilo na but momos tik asa corn ar mayonnaise sob momos ar opor a pora gasa,2.0
akto kom thaka prote glass a,3.0
akto o valo cilo nah,1.0
aktu bhalo silo napizza te cheese ar mone hoi dewa e hoi nai amon obostataste o bhalo lage naikhub e bajeakdom waste of money!!,1.0
aktu early pele valo hoto otherwise good,3.0
aktu first dila vlo hoi khabar dita onk late kora,4.0
aktu khani meyones r sous dise just ruti kono cheese silona,3.0
aktu o vallage na,1.0
aktu o vlo hoi ni onk disappointed,1.0
aktuo valo hoy nai nangrill ta,1.0
alam khabar onek valo chilo,5.0
alarfuar battpar torar restaurant jalay deya uchit alarfuar,1.0
alfredo was good piequiche was terrible,3.0
alhamdu lillah all ok,4.0
alhamdu lillah balo cilo kabar,3.0
alhamduallah,4.0
alhamduallah onk valo,1.0
alhamdulilah khub valo,3.0
alhamdulilah so tasty quantity is good,5.0
alhamdulilallah your food is so yummy,5.0
alhamdulilla,2.0
alhamdulilla order received,5.0
alhamdulillaahh it was good,3.0
alhamdulillah,4.425
alhamdulillah alhamdulillah alhamdulillah anek anek valo cilo quantity o anek valo chilo khichuri mangsho tar eand luckily amar favourite pis gulo e peyechi parcel a evabe quality bojay rakhun,5.0
alhamdulillah all good,5.0
alhamdulillah amn offer price e eto valo food pabo vabini khub valo kheyechi specially rui fish khub valo hoyeche ei restaurent er proti doa thaklo jeno tader bebsha aro baare sheba korte,4.0
alhamdulillah anek valoi chilo,5.0
alhamdulillah awesome ! !,5.0
alhamdulillah best deal with this price,5.0
alhamdulillah best food,5.0
alhamdulillah bhalo chilo shob,5.0
alhamdulillah but bhai salad th next time beshi dien thanks,5.0
alhamdulillah but halim ta improve kora drkr,5.0
alhamdulillah chicken fry ta onk valo chilo,4.0
alhamdulillah fine,5.0
alhamdulillah food was delicious but price was not reasonable,4.0
alhamdulillah food was good,5.0
alhamdulillah food was too good thank to burger side owner,5.0
alhamdulillah fresh food,4.0
alhamdulillah good,4.666666666666667
alhamdulillah good as always! itd be better if they provide a little amount of salad with a piece of lime,5.0
alhamdulillah good but quantity was too lowlike that can eat a little baby not for big ones foodbeef size is like little marvel and never expect that types of foodand no gravy there in food,1.0
alhamdulillah good quality im satisfied,4.0
alhamdulillah gooodddd,5.0
alhamdulillah great!,5.0
alhamdulillah grill piece e buker piece selo but sauce kom selo,3.0
alhamdulillah is good but it would be better to have cucumber lemon,4.0
alhamdulillah it was a better experience with them,5.0
alhamdulillah it was a testy meal,4.0
alhamdulillah it was delicious,4.0
alhamdulillah it was delicious im very happy jazak allah for made a delicious food,5.0
alhamdulillah it was too much delicious thank you so much for your honesty,5.0
alhamdulillah it was very well thank you for yours service,4.0
alhamdulillah khabar bhalo chilo,4.0
alhamdulillah khabar onek tasty as usual,5.0
alhamdulillah khabar onk valo chilo,5.0
alhamdulillah khabar ta khub sundor chilo tobe ami disappointed akta bepar a delivery ta prai min late hoise rider thik time diyache but khabar ar deri asa kori next time aita thik hobe,4.0
alhamdulillah khub valo chilo,5.0
alhamdulillah khub valo cilo,1.0
alhamdulillah khub valo maner khabar chilo,5.0
alhamdulillah khub vlo chilo,5.0
alhamdulillah khubi valo,5.0
alhamdulillah khuv vlo chilo,5.0
alhamdulillah motamuti valo but alur chop ar vorta ta gondo cilo,1.0
alhamdulillah mutton hallem ta bhalo chilo kintu iftarir min agey order dichi ar paichi min por first min order receive e kore nai,3.0
alhamdulillah nan grill was five star,5.0
alhamdulillah nice,5.0
alhamdulillah offer price e darun taste tobe rice ta ar aktu baraya dile valo hoto,5.0
alhamdulillah onek valo khabarer quality and quantity and also taste,5.0
alhamdulillah onk taste but price ektu besi,5.0
alhamdulillah onk valo,4.0
alhamdulillah over all good,4.0
alhamdulillah paratha r dal vaji valoi chilo,5.0
alhamdulillah satisfied,5.0
alhamdulillah satisfied kacchita joss khichurir dike aro monojog deya ucit mangsota less quality er,5.0
alhamdulillah satisfied with food and service,5.0
alhamdulillah satisfying,5.0
alhamdulillah shob shomoy e valo pai tobe quantity ager theke ektu kom chilo last order a,4.0
alhamdulillah taste was good satisfactory!,4.0
alhamdulillah test onek valo but poriman ta aktu kom akjon er jonno order korle aktu kom hoye jay,4.0
alhamdulillah thank you so much,5.0
alhamdulillah that was much better,4.0
alhamdulillah the chicken jal fry was good amount was satisfactory also,5.0
alhamdulillah the food was delicious,5.0
alhamdulillah the food was very testy packaging was very good thank you,5.0
alhamdulillah the pizza was so delicious jazakallahu khairan also thanks for the gift and your service is so precious,5.0
alhamdulillah the quality of the food is very good,5.0
alhamdulillah the taste was awesome the delivery man was also polite,5.0
alhamdulillah there food taste was great as usual highly recommended! keep your quality just like this in sha allah you guys will shine one of the best restaurants in khulna,5.0
alhamdulillah valo,3.5
alhamdulillah valo alada vabe single naan option thakle valo hoto thanks,5.0
alhamdulillah valo chilo,4.0
alhamdulillah valo chilo kafayet vai,4.0
alhamdulillah valo khabar silo,5.0
alhamdulillah valo lagse,4.0
alhamdulillah valo silo,4.333333333333333
alhamdulillah valoi hoise star dilam ta dilam na karon uni tk r jonno ektu chillaisilo r tikka gulo darun silo tikkia ta darun silo,4.0
alhamdulillah valoy chilo,4.0
alhamdulillah very good,4.0
alhamdulillah very good and tasty,5.0
alhamdulillah very good delivery its almost right the delivery boy is very good,3.0
alhamdulillah very nice,5.0
alhamdulillah very tasty good,5.0
alhamdulillah vlo service,5.0
alhamdulillah vlo silo,5.0
alhamdulillah yammi,3.0
alhamdulillah কিন্তু খেচা ছিল ২টা প্যাকেটে টেস্ট ঠিক ছিল,4.0
alhamdulillah! khabarer maan valo ebong shushadu chilo tripti shohokare khelam dhonnobad,5.0
alhamdulillahfresh and tasty,5.0
alhamdulilllah khub valo chilo taste keep it up,5.0
alhamdullah,5.0
